Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
3544301,Roseira,8.577,4.846,4.760,9.123,483,9.606
3544400,Rubiácea,2.337,1.392,1.337,1.563,1.166,2.729
3544509,Rubinéia,2.615,1.415,1.447,2.355,507,2.862
3544608,Sabino,4.951,2.629,2.597,4.584,642,5.226
3544707,Sagres,2.439,1.191,1.204,1.819,576,2.395
3544806,Sales,4.563,2.786,2.664,4.903,547,5.450
3544905,Sales Oliveira,9.325,5.241,5.327,9.569,999,10.568
3545001,Salesópolis,14.357,7.908,7.731,9.956,5.683,15.639
3545100,Salmourão,4.401,2.477,2.341,4.321,497,4.818
3545159,Saltinho,5.799,3.519,3.540,5.891,1.168,7.059
3545209,Salto,93.159,52.146,53.423,104.827,742,105.569
3545308,Salto de Pirapora,35.072,19.959,20.182,31.463,8.678,40.141
3545407,Salto Grande,8.444,4.354,4.433,7.934,853,8.787
3545506,Sandovalina,3.089,1.884,1.815,2.581,1.118,3.699
3545605,Santa Adélia,13.449,7.164,7.169,13.560,773,14.333
3545704,Santa Albertina,5.586,2.905,2.818,4.891,832,5.723
3545803,Santa Bárbara d'Oeste,170.078,89.311,90.837,178.728,1.420,180.148
3546009,Santa Branca,13.010,6.878,6.892,12.145,1.625,13.770
3546108,Santa Clara d'Oeste,2.123,1.073,1.011,1.571,513,2.084
3546207,Santa Cruz da Conceição,3.531,1.979,2.019,2.708,1.290,3.998
3546256,Santa Cruz da Esperança,1.796,966,987,1.323,630,1.953
3546306,Santa Cruz das Palmeiras,25.556,15.245,14.729,29.042,932,29.974
3546405,Santa Cruz do Rio Pardo,40.919,21.513,22.416,40.161,3.768,43.929
3546504,Santa Ernestina,5.741,2.852,2.716,5.145,423,5.568
3546603,Santa Fé do Sul,26.512,14.073,15.162,28.084,1.151,29.235
3546702,Santa Gertrudes,15.906,10.957,10.687,21.414,230,21.644
3546801,Santa Isabel,43.740,25.260,25.204,39.596,10.868,50.464
3546900,Santa Lúcia,7.853,4.129,4.117,7.752,494,8.246
3547007,Santa Maria da Serra,4.673,2.750,2.668,4.777,641,5.418
3547106,Santa Mercedes,2.803,1.423,1.408,2.458,373,2.831
3547502,Santa Rita do Passa Quatro,26.138,12.785,13.635,23.643,2.777,26.420
3547403,Santa Rita d'Oeste,2.695,1.264,1.279,1.773,770,2.543
3547601,Santa Rosa de Viterbo,21.435,11.780,12.091,22.756,1.115,23.871
3547650,Santa Salete,1.379,743,704,819,628,1.447
3547205,Santana da Ponte Pensa,1.894,841,800,1.097,544,1.641
3547304,Santana de Parnaíba,74.828,53.652,55.223,108.875,0,108.875
3547700,Santo Anastácio,20.749,9.994,10.504,19.100,1.398,20.498
3547809,Santo André,649.331,323.208,350.706,673.914,0,673.914
3547908,Santo Antônio da Alegria,5.764,3.260,3.044,4.669,1.635,6.304
3548005,Santo Antônio de Posse,18.124,10.398,10.237,18.813,1.822,20.635
3548054,Santo Antônio do Aracanguá,6.929,3.881,3.746,5.977,1.650,7.627
3548104,Santo Antônio do Jardim,6.154,3.045,2.898,3.532,2.411,5.943
3548203,Santo Antônio do Pinhal,6.328,3.285,3.231,3.868,2.648,6.516
3548302,Santo Expedito,2.526,1.407,1.399,2.484,322,2.806
3548401,Santópolis do Aguapeí,3.816,2.170,2.111,4.134,147,4.281
3548500,Santos,417.983,192.056,227.701,419.443,314,419.757
3548609,São Bento do Sapucaí,10.355,5.268,5.194,5.032,5.430,10.462
3548708,São Bernardo do Campo,703.177,369.489,395.714,752.414,12.789,765.203
3548807,São Caetano do Sul,140.159,69.024,80.547,149.571,0,149.571
3548906,São Carlos,192.998,108.875,113.061,213.070,8.866,221.936
3549003,São Francisco,2.863,1.400,1.393,2.167,626,2.793
3549102,São João da Boa Vista,77.387,40.558,43.103,80.324,3.337,83.661
3549201,São João das Duas Pontes,2.660,1.290,1.276,1.961,605,2.566
3549250,São João de Iracema,1.671,898,882,1.452,328,1.780
3549300,São João do Pau d'Alho,2.180,1.057,1.046,1.705,398,2.103
3549409,São Joaquim da Barra,41.587,22.801,23.723,45.690,834,46.524
3549508,São José da Bela Vista,8.075,4.312,4.095,7.486,921,8.407
3549607,São José do Barreiro,4.143,2.061,2.036,2.872,1.225,4.097
3549706,São José do Rio Pardo,50.077,25.550,26.360,45.974,5.936,51.910
3549805,São José do Rio Preto,358.523,196.114,212.321,383.558,24.877,408.435
3549904,São José dos Campos,539.313,307.394,320.150,615.610,11.934,627.544
3549953,São Lourenço da Serra,12.199,7.100,6.885,12.725,1.260,13.985
3550001,São Luís do Paraitinga,10.429,5.321,5.083,6.185,4.219,10.404
3550100,São Manuel,36.545,18.792,19.598,37.461,929,38.390
3550209,São Miguel Arcanjo,30.798,15.996,15.456,21.504,9.948,31.452
3550308,São Paulo,10.434.252,5.323.385,5.920.984,11.125.243,119.126,11.244.369
3550407,São Pedro,27.897,15.439,16.249,26.635,5.053,31.688
3550506,São Pedro do Turvo,6.888,3.676,3.532,5.158,2.050,7.208
3550605,São Roque,66.637,38.793,40.080,71.536,7.337,78.873
3550704,São Sebastião,58.038,36.827,37.006,73.000,833,73.833
3550803,São Sebastião da Grama,12.454,6.166,5.934,7.970,4.130,12.100
3550902,São Simão,13.675,7.062,7.288,12.930,1.420,14.350
3551009,São Vicente,303.551,159.571,172.853,331.792,632,332.424
3551108,Sarapuí,7.805,4.594,4.433,6.646,2.381,9.027
3551207,Sarutaiá,3.739,1.819,1.803,2.957,665,3.622
3551306,Sebastianópolis do Sul,2.546,1.525,1.506,2.347,684,3.031
3551405,Serra Azul,7.446,6.872,4.387,8.021,3.238,11.259
