Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
2508505,Livramento,7.605,3.523,3.641,3.752,3.412,7.164
2508554,Logradouro,3.389,1.938,2.004,1.723,2.219,3.942
2508604,Lucena,9.755,5.826,5.904,10.152,1.578,11.730
2508703,Mãe d'Água,3.459,1.964,2.055,1.569,2.450,4.019
2508802,Malta,5.692,2.702,2.910,4.904,708,5.612
2508901,Mamanguape,38.772,20.807,21.523,34.248,8.082,42.330
2509008,Manaíra,10.473,5.400,5.359,6.027,4.732,10.759
2509057,Marcação,6.203,3.895,3.716,2.851,4.760,7.611
2509107,Mari,20.663,10.359,10.814,17.449,3.724,21.173
2509156,Marizópolis,5.618,3.016,3.157,5.357,816,6.173
2509206,Massaranduba,11.697,6.250,6.660,4.487,8.423,12.910
2509305,Mataraca,5.500,3.687,3.717,6.544,860,7.404
2509339,Matinhas,4.086,2.149,2.167,682,3.634,4.316
2509370,Mato Grosso,2.427,1.349,1.353,1.201,1.501,2.702
2509396,Maturéia,5.032,2.900,3.039,3.857,2.082,5.939
2509404,Mogeiro,13.231,6.076,6.414,5.582,6.908,12.490
2509503,Montadas,3.969,2.482,2.508,3.156,1.834,4.990
2509602,Monte Horebe,4.112,2.263,2.245,2.501,2.007,4.508
2509701,Monteiro,27.687,14.976,15.868,20.259,10.585,30.844
2509800,Mulungu,9.189,4.630,4.839,4.536,4.933,9.469
2509909,Natuba,10.562,5.217,5.349,3.634,6.932,10.566
2510006,Nazarezinho,7.272,3.630,3.650,3.184,4.096,7.280
2510105,Nova Floresta,9.421,5.116,5.417,7.892,2.641,10.533
2510204,Nova Olinda,6.457,3.019,3.051,3.227,2.843,6.070
2510303,Nova Palmeira,3.573,2.166,2.199,2.556,1.809,4.365
2510402,Olho d'Água,7.831,3.352,3.579,3.868,3.063,6.931
2510501,Olivedos,3.194,1.853,1.774,1.902,1.725,3.627
2510600,Ouro Velho,2.823,1.470,1.458,2.047,881,2.928
2510659,Parari,1.437,621,635,699,557,1.256
2510709,Passagem,1.979,1.107,1.126,1.109,1.124,2.233
2510808,Patos,91.761,47.816,52.879,97.296,3.399,100.695
2510907,Paulista,11.266,5.825,5.958,5.717,6.066,11.783
2511004,Pedra Branca,3.692,1.847,1.874,2.365,1.356,3.721
2511103,Pedra Lavrada,6.617,3.734,3.741,3.075,4.400,7.475
2511202,Pedras de Fogo,25.861,13.468,13.566,16.360,10.674,27.034
2512721,Pedro Régis,4.883,2.899,2.880,2.148,3.631,5.779
2511301,Piancó,14.872,7.388,8.077,11.278,4.187,15.465
2511400,Picuí,17.896,8.957,9.269,12.122,6.104,18.226
2511509,Pilar,10.274,5.500,5.691,7.673,3.518,11.191
2511608,Pilões,7.800,3.517,3.461,3.332,3.646,6.978
2511707,Pilõezinhos,5.430,2.543,2.612,2.747,2.408,5.155
2511806,Pirpirituba,10.198,5.110,5.209,7.892,2.427,10.319
2511905,Pitimbu,13.927,8.611,8.421,10.392,6.640,17.032
2512002,Pocinhos,14.880,8.485,8.535,9.615,7.405,17.020
2512036,Poço Dantas,3.828,1.905,1.847,977,2.775,3.752
2512077,Poço de José de Moura,3.529,1.935,2.043,1.425,2.553,3.978
2512101,Pombal,31.954,15.381,16.736,25.760,6.357,32.117
2512200,Prata,3.425,1.927,1.927,2.444,1.410,3.854
2512309,Princesa Isabel,18.231,10.448,10.835,14.528,6.755,21.283
2512408,Puxinanã,11.981,6.362,6.567,4.219,8.710,12.929
2512507,Queimadas,36.032,19.942,21.112,22.249,18.805,41.054
2512606,Quixabá,1.308,893,806,633,1.066,1.699
2512705,Remígio,14.914,8.380,9.202,12.954,4.628,17.582
2512747,Riachão,2.793,1.595,1.679,2.031,1.243,3.274
2512754,Riachão do Bacamarte,3.948,2.082,2.182,2.663,1.601,4.264
2512762,Riachão do Poço,3.694,2.086,2.078,1.287,2.877,4.164
2512788,Riacho de Santo Antônio,1.334,871,851,1.186,536,1.722
2512804,Riacho dos Cavalos,8.064,4.242,4.072,4.025,4.289,8.314
2512903,Rio Tinto,22.311,11.311,11.668,13.060,9.919,22.979
2513000,Salgadinho,2.823,1.782,1.726,1.203,2.305,3.508
2513109,Salgado de São Félix,12.046,5.836,6.140,5.250,6.726,11.976
2513158,Santa Cecília,6.862,3.411,3.250,1.868,4.793,6.661
2513208,Santa Cruz,6.471,3.283,3.188,2.988,3.483,6.471
2513307,Santa Helena,6.170,2.626,2.743,2.702,2.667,5.369
2513356,Santa Inês,3.548,1.823,1.716,1.430,2.109,3.539
2513406,Santa Luzia,14.012,7.142,7.587,13.489,1.240,14.729
2513703,Santa Rita,115.844,58.143,62.190,103.768,16.565,120.333
2513802,Santa Teresinha,4.728,2.276,2.305,2.208,2.373,4.581
2513505,Santana de Mangueira,5.773,2.698,2.634,2.232,3.100,5.332
2513604,Santana dos Garrotes,7.882,3.512,3.754,3.736,3.530,7.266
2513653,Santarém,2.568,1.268,1.347,840,1.775,2.615
2513851,Santo André,2.800,1.337,1.301,865,1.773,2.638
2513927,São Bentinho,3.589,2.018,2.120,2.845,1.293,4.138
2513901,São Bento,26.225,15.219,15.661,25.039,5.841,30.880
2513968,São Domingos,2.498,1.410,1.441,994,1.857,2.851
2513943,São Domingos do Cariri,2.189,1.212,1.208,1.034,1.386,2.420
2513984,São Francisco,3.464,1.660,1.704,1.363,2.001,3.364
2514008,São João do Cariri,4.703,2.121,2.223,2.347,1.997,4.344
2500700,São João do Rio do Peixe,17.661,8.940,9.261,6.885,11.316,18.201
2514107,São João do Tigre,4.481,2.247,2.149,1.529,2.867,4.396
2514206,São José da Lagoa Tapada,7.184,3.680,3.884,3.315,4.249,7.564
2514305,São José de Caiana,5.737,3.052,2.958,2.729,3.281,6.010
2514404,São José de Espinharas,5.109,2.501,2.259,1.617,3.143,4.760
2514503,São José de Piranhas,17.876,9.530,9.569,10.798,8.301,19.099
2514552,São José de Princesa,4.970,2.139,2.080,695,3.524,4.219
2514602,São José do Bonfim,2.838,1.627,1.606,1.361,1.872,3.233
2514651,São José do Brejo do Cruz,1.532,849,835,958,726,1.684
2514701,São José do Sabugi,3.903,2.042,1.968,2.579,1.431,4.010
2514800,São José dos Cordeiros,4.136,1.982,2.003,1.643,2.342,3.985
2514453,São José dos Ramos,4.900,2.759,2.749,2.373,3.135,5.508
2514909,São Mamede,8.018,3.837,3.911,5.929,1.819,7.748
2515005,São Miguel de Taipu,6.086,3.342,3.354,2.977,3.719,6.696
2515104,São Sebastião de Lagoa de Roça,10.026,5.423,5.618,4.659,6.382,11.041
2515203,São Sebastião do Umbuzeiro,2.894,1.619,1.620,2.097,1.142,3.239
