Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
5215207,Novo Brasil,4.181,1.817,1.699,2.275,1.241,3.516
5215231,Novo Gama,74.380,46.672,48.341,93.967,1.046,95.013
5215256,Novo Planalto,3.432,2.075,1.878,2.587,1.366,3.953
5215306,Orizona,13.067,7.375,6.917,7.981,6.311,14.292
5215405,Ouro Verde de Goiás,4.358,2.010,2.030,2.683,1.357,4.040
5215504,Ouvidor,4.271,2.804,2.642,4.795,651,5.446
5215603,Padre Bernardo,21.514,14.000,13.689,10.794,16.895,27.689
5215652,Palestina de Goiás,3.307,1.779,1.603,2.180,1.202,3.382
5215702,Palmeiras de Goiás,17.822,11.813,11.520,19.154,4.179,23.333
5215801,Palmelo,2.309,1.152,1.187,2.216,123,2.339
5215900,Palminópolis,3.561,1.779,1.782,2.699,862,3.561
5216007,Panamá,2.776,1.367,1.309,2.035,641,2.676
5216304,Paranaiguara,8.192,4.598,4.521,8.397,722,9.119
5216403,Paraúna,10.834,5.517,5.343,7.987,2.873,10.860
5216452,Perolândia,2.791,1.570,1.380,1.859,1.091,2.950
5216809,Petrolina de Goiás,10.381,5.364,4.921,6.684,3.601,10.285
5216908,Pilar de Goiás,3.339,1.467,1.299,1.198,1.568,2.766
5217104,Piracanjuba,23.557,12.204,11.829,17.553,6.480,24.033
5217203,Piranhas,12.287,5.719,5.549,9.071,2.197,11.268
5217302,Pirenópolis,21.245,11.826,11.239,15.589,7.476,23.065
5217401,Pires do Rio,26.229,14.071,14.620,27.018,1.673,28.691
5217609,Planaltina,73.718,40.491,41.121,77.583,4.029,81.612
5217708,Pontalina,16.556,8.567,8.545,13.890,3.222,17.112
5218003,Porangatu,39.593,21.285,21.071,35.742,6.614,42.356
5218052,Porteirão,2.823,1.808,1.539,2.929,418,3.347
5218102,Portelândia,3.696,1.986,1.853,3.110,729,3.839
5218300,Posse,25.696,15.927,15.490,23.934,7.483,31.417
5218391,Professor Jamil,3.403,1.678,1.566,2.263,981,3.244
5218508,Quirinópolis,36.512,21.940,21.303,38.179,5.064,43.243
5218607,Rialma,10.210,5.230,5.286,9.794,722,10.516
5218706,Rianápolis,4.364,2.312,2.244,4.071,485,4.556
5218789,Rio Quente,2.097,1.732,1.579,2.838,473,3.311
5218805,Rio Verde,116.552,90.021,86.481,163.621,12.881,176.502
5218904,Rubiataba,18.087,9.385,9.463,16.158,2.690,18.848
5219001,Sanclerlândia,7.530,3.847,3.716,6.079,1.484,7.563
5219100,Santa Bárbara de Goiás,4.963,2.932,2.819,5.206,545,5.751
5219209,Santa Cruz de Goiás,3.470,1.645,1.497,981,2.161,3.142
5219258,Santa Fé de Goiás,4.083,2.411,2.357,3.823,945,4.768
5219308,Santa Helena de Goiás,34.545,18.311,18.148,34.810,1.649,36.459
5219357,Santa Isabel,3.592,1.900,1.780,1.361,2.319,3.680
5219407,Santa Rita do Araguaia,5.087,3.549,3.379,6.163,765,6.928
5219456,Santa Rita do Novo Destino,3.025,1.725,1.445,1.114,2.056,3.170
5219506,Santa Rosa de Goiás,3.548,1.451,1.454,2.177,728,2.905
5219605,Santa Tereza de Goiás,4.697,1.993,1.998,3.351,640,3.991
5219704,Santa Terezinha de Goiás,12.015,5.261,5.043,7.768,2.536,10.304
5219712,Santo Antônio da Barra,4.052,2.350,2.080,3.384,1.046,4.430
5219738,Santo Antônio de Goiás,3.106,2.379,2.311,4.258,432,4.690
5219753,Santo Antônio do Descoberto,51.897,31.340,31.826,56.721,6.445,63.166
5219803,São Domingos,9.636,5.903,5.333,5.745,5.491,11.236
5219902,São Francisco de Goiás,6.028,3.142,2.975,4.461,1.656,6.117
5220058,São João da Paraúna,2.024,845,847,1.277,415,1.692
5220009,São João d'Aliança,6.736,5.273,4.981,6.721,3.533,10.254
5220108,São Luís de Montes Belos,26.383,14.743,15.307,26.601,3.449,30.050
5220157,São Luíz do Norte,4.089,2.334,2.283,3.908,709,4.617
5220207,São Miguel do Araguaia,22.793,11.397,10.897,17.668,4.626,22.294
5220264,São Miguel do Passa Quatro,3.481,1.945,1.816,2.076,1.685,3.761
5220280,São Patrício,1.835,1.000,991,1.171,820,1.991
5220405,São Simão,13.552,8.863,8.223,16.307,779,17.086
5220454,Senador Canedo,53.105,42.184,42.215,84.066,333,84.399
5220504,Serranópolis,6.447,3.971,3.506,5.540,1.937,7.477
5220603,Silvânia,20.339,9.811,9.285,12.679,6.417,19.096
5220686,Simolândia,6.219,3.301,3.211,5.377,1.135,6.512
5220702,Sítio d'Abadia,2.681,1.517,1.304,994,1.827,2.821
5221007,Taquaral de Goiás,3.587,1.766,1.774,2.876,664,3.540
5221080,Teresina de Goiás,2.585,1.542,1.474,2.134,882,3.016
5221197,Terezópolis de Goiás,5.083,3.347,3.215,5.677,885,6.562
5221304,Três Ranchos,2.831,1.423,1.394,2.486,331,2.817
5221403,Trindade,81.457,51.407,53.099,100.107,4.399,104.506
5221452,Trombas,3.434,1.778,1.657,2.183,1.252,3.435
5221502,Turvânia,5.134,2.431,2.408,3.891,948,4.839
5221551,Turvelândia,3.524,2.338,2.061,3.138,1.261,4.399
5221577,Uirapuru,3.043,1.527,1.408,1.464,1.471,2.935
5221601,Uruaçu,33.530,18.443,18.506,33.816,3.133,36.949
5221700,Uruana,13.938,7.004,6.817,11.227,2.594,13.821
5221809,Urutaí,3.104,1.560,1.498,2.165,893,3.058
5221858,Valparaíso de Goiás,94.856,64.616,68.331,132.947,0,132.947
5221908,Varjão,3.519,1.854,1.807,2.245,1.416,3.661
5222005,Vianópolis,11.300,6.284,6.265,9.164,3.385,12.549
5222054,Vicentinópolis,6.015,3.871,3.500,6.322,1.049,7.371
5222203,Vila Boa,3.287,2.606,2.136,3.497,1.245,4.742
5222302,Vila Propício,4.492,2.690,2.455,1.504,3.641,5.145
Total,Goiás,5.003.228,2.981.542,3.022.503,5.421.069,582.976,6.004.045
"Fonte: IBGE, Resultados do Censo 2010.",,,,,,,
