Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
1718840,Sandolândia,3.332,1.741,1.585,1.764,1.562,3.326
1718865,Santa Fé do Araguaia,5.507,3.417,3.182,4.374,2.225,6.599
1718881,Santa Maria do Tocantins,2.226,1.518,1.376,1.725,1.169,2.894
1718899,Santa Rita do Tocantins,1.852,1.109,1.019,918,1.210,2.128
1718907,Santa Rosa do Tocantins,4.316,2.412,2.156,2.947,1.621,4.568
1719004,Santa Tereza do Tocantins,2.114,1.339,1.184,1.616,907,2.523
1720002,Santa Terezinha do Tocantins,2.455,1.267,1.204,1.591,880,2.471
1720101,São Bento do Tocantins,3.738,2.406,2.209,2.716,1.899,4.615
1720150,São Félix do Tocantins,1.269,773,672,931,514,1.445
1720200,São Miguel do Tocantins,8.486,5.295,5.195,2.547,7.943,10.490
1720259,São Salvador do Tocantins,2.740,1.486,1.424,1.588,1.322,2.910
1720309,São Sebastião do Tocantins,3.669,2.199,2.084,3.283,1.000,4.283
1720499,São Valério,5.054,2.267,2.117,2.724,1.660,4.384
1720655,Silvanópolis,4.725,2.656,2.415,4.064,1.007,5.071
1720804,Sítio Novo do Tocantins,9.488,4.631,4.517,4.875,4.273,9.148
1720853,Sucupira,1.476,893,846,1.106,633,1.739
1720903,Taguatinga,13.169,7.885,7.168,10.629,4.424,15.053
1720937,Taipas do Tocantins,1.713,1.017,928,1.557,388,1.945
1720978,Talismã,2.306,1.352,1.210,1.363,1.199,2.562
1721109,Tocantínia,5.788,3.399,3.199,2.955,3.643,6.598
1721208,Tocantinópolis,22.777,11.195,11.413,18.313,4.295,22.608
1721257,Tupirama,1.179,843,731,930,644,1.574
1721307,Tupiratins,1.365,1.089,1.008,1.066,1.031,2.097
1722081,Wanderlândia,10.273,5.645,5.333,5.862,5.116,10.978
1722107,Xambioá,12.137,5.907,5.577,9.738,1.746,11.484
Total,Tocantins,1.157.098,702.451,681.002,1.090.241,293.212,1.383.453
"Fonte: IBGE, Resultados do Censo 2010.",,,,,,,
