Código do município,Nome do município,Total da população 2000,Total de homens,Total de mulheres,Total da população urbana,Total da população rural,Total da população 2010
4319208,São Nicolau,6.406,2.906,2.821,3.692,2.035,5.727
4319307,São Paulo das Missões,7.187,3.230,3.137,2.199,4.168,6.367
4319356,São Pedro da Serra,2.843,1.684,1.633,1.431,1.886,3.317
4319364,São Pedro das Missões,0,932,954,532,1.354,1.886
4319372,São Pedro do Butiá,2.862,1.456,1.417,1.209,1.664,2.873
4319406,São Pedro do Sul,16.989,8.052,8.319,11.932,4.439,16.371
4319505,São Sebastião do Caí,19.700,10.744,11.200,17.611,4.333,21.944
4319604,São Sepé,24.621,11.776,12.022,18.821,4.977,23.798
4319703,São Valentim,4.109,1.811,1.821,1.744,1.888,3.632
4319711,São Valentim do Sul,2.140,1.112,1.056,746,1.422,2.168
4319737,São Valério do Sul,2.625,1.375,1.272,510,2.137,2.647
4319752,São Vendelino,1.682,994,950,1.353,591,1.944
4319802,São Vicente do Sul,8.336,4.205,4.235,5.881,2.559,8.440
4319901,Sapiranga,69.189,37.012,38.008,72.323,2.697,75.020
4320008,Sapucaia do Sul,122.751,63.756,67.232,130.500,488,130.988
4320107,Sarandi,18.162,10.272,11.040,17.957,3.355,21.312
4320206,Seberi,11.349,5.352,5.550,5.923,4.979,10.902
4320230,Sede Nova,3.208,1.531,1.480,1.581,1.430,3.011
4320263,Segredo,6.911,3.696,3.462,1.807,5.351,7.158
4320305,Selbach,4.861,2.403,2.526,3.450,1.479,4.929
4320321,Senador Salgado Filho,2.927,1.407,1.407,880,1.934,2.814
4320354,Sentinela do Sul,4.892,2.666,2.531,1.279,3.918,5.197
4320404,Serafina Corrêa,10.894,7.098,7.145,12.054,2.189,14.243
4320453,Sério,2.706,1.190,1.091,530,1.751,2.281
4320503,Sertão,7.466,3.045,3.249,3.387,2.907,6.294
4320552,Sertão Santana,5.272,2.934,2.916,1.278,4.572,5.850
4320578,Sete de Setembro,2.357,1.081,1.045,494,1.632,2.126
4320602,Severiano de Almeida,4.153,1.942,1.900,1.399,2.443,3.842
4320651,Silveira Martins,2.571,1.229,1.223,1.091,1.361,2.452
4320677,Sinimbu,10.210,5.216,4.851,1.437,8.630,10.067
4320701,Sobradinho,16.328,6.992,7.293,11.349,2.936,14.285
4320800,Soledade,29.727,14.723,15.342,24.040,6.025,30.065
4320859,Tabaí,3.563,2.102,2.029,1.246,2.885,4.131
4320909,Tapejara,15.115,9.396,9.856,17.082,2.170,19.252
4321006,Tapera,10.564,5.095,5.357,8.824,1.628,10.452
4321105,Tapes,16.291,8.181,8.468,14.494,2.155,16.649
4321204,Taquara,52.825,26.875,27.781,45.276,9.380,54.656
4321303,Taquari,25.887,12.705,13.430,21.920,4.215,26.135
4321329,Taquaruçu do Sul,2.921,1.519,1.451,1.164,1.806,2.970
4321352,Tavares,5.342,2.777,2.574,3.299,2.052,5.351
4321402,Tenente Portela,14.343,6.711,7.005,8.847,4.869,13.716
4321436,Terra de Areia,11.453,4.960,4.918,5.195,4.683,9.878
4321451,Teutônia,22.891,13.516,13.749,23.317,3.948,27.265
4321469,Tio Hugo,0,1.372,1.352,1.164,1.560,2.724
4321477,Tiradentes do Sul,7.497,3.268,3.193,2.098,4.363,6.461
4321493,Toropi,3.196,1.561,1.391,611,2.341,2.952
4321501,Torres,30.880,16.841,17.805,33.329,1.317,34.646
4321600,Tramandaí,31.040,20.169,21.486,40.652,1.003,41.655
4321626,Travesseiro,2.349,1.171,1.143,887,1.427,2.314
4321634,Três Arroios,3.144,1.428,1.427,1.027,1.828,2.855
4321667,Três Cachoeiras,9.523,5.172,5.067,7.523,2.716,10.239
4321709,Três Coroas,19.430,11.843,12.012,20.553,3.302,23.855
4321808,Três de Maio,24.136,11.484,12.242,18.962,4.764,23.726
4321832,Três Forquilhas,3.239,1.510,1.402,385,2.527,2.912
4321857,Três Palmeiras,4.620,2.210,2.171,2.090,2.291,4.381
4321907,Três Passos,24.656,11.753,12.220,19.060,4.913,23.973
4321956,Trindade do Sul,5.922,2.884,2.903,2.899,2.888,5.787
4322004,Triunfo,22.166,12.953,12.858,16.882,8.929,25.811
4322103,Tucunduva,6.305,2.818,3.083,4.038,1.863,5.901
4322152,Tunas,4.310,2.278,2.117,1.375,3.020,4.395
4322186,Tupanci do Sul,1.728,815,759,473,1.101,1.574
4322202,Tupanciretã,20.947,10.867,11.419,18.025,4.261,22.286
4322251,Tupandi,2.958,2.063,1.856,2.716,1.203,3.919
4322301,Tuparendi,9.542,4.146,4.411,5.294,3.263,8.557
4322327,Turuçu,3.710,1.778,1.744,1.487,2.035,3.522
4322343,Ubiretama,2.677,1.183,1.113,500,1.796,2.296
4322350,União da Serra,1.908,797,690,280,1.207,1.487
4322376,Unistalda,2.644,1.247,1.206,913,1.540,2.453
4322400,Uruguaiana,126.936,61.057,64.450,117.461,8.046,125.507
4322509,Vacaria,57.341,30.089,31.256,57.337,4.008,61.345
4322533,Vale do Sol,10.558,5.597,5.480,1.249,9.828,11.077
4322541,Vale Real,4.340,2.576,2.545,4.569,552,5.121
4322525,Vale Verde,3.057,1.652,1.601,882,2.371,3.253
4322558,Vanini,1.887,993,991,1.001,983,1.984
4322608,Venâncio Aires,61.234,32.648,33.316,41.416,24.548,65.964
4322707,Vera Cruz,21.300,11.751,12.235,13.320,10.666,23.986
4322806,Veranópolis,19.466,11.101,11.714,19.847,2.968,22.815
4322855,Vespasiano Correa,2.209,1.024,950,406,1.568,1.974
4322905,Viadutos,6.087,2.620,2.691,2.643,2.668,5.311
4323002,Viamão,227.429,116.344,122.890,224.962,14.272,239.234
4323101,Vicente Dutra,6.128,2.701,2.584,2.351,2.934,5.285
4323200,Victor Graeff,3.924,1.512,1.524,1.284,1.752,3.036
4323309,Vila Flores,3.086,1.617,1.590,1.348,1.859,3.207
4323358,Vila Lângaro,2.277,1.123,1.029,366,1.786,2.152
4323408,Vila Maria,4.173,2.116,2.105,2.249,1.972,4.221
4323457,Vila Nova do Sul,4.263,2.102,2.119,2.194,2.027,4.221
4323507,Vista Alegre,2.996,1.400,1.432,1.185,1.647,2.832
4323606,Vista Alegre do Prata,1.618,819,750,463,1.106,1.569
4323705,Vista Gaúcha,2.725,1.395,1.364,965,1.794,2.759
4323754,Vitória das Missões,3.979,1.794,1.691,669,2.816,3.485
4323770,Westfalia,0,1.406,1.387,1.130,1.663,2.793
4323804,Xangri-lá,8.197,6.190,6.215,12.350,55,12.405
Total,Rio Grande do Sul,10.187.798,5.205.705,5.489.827,9.102.241,1.593.291,10.695.532
"Fonte: IBGE, Resultados do Censo 2010.",,,,,,,
